Course Code,Course Name,Course Type,Last Placed Candidate Grade,University Code,Year
L221,Engenharia Aeroespacial,Licenciatura - 1º ciclo,186.4,0300,2021
L223,Engenharia Computacional,Licenciatura - 1º ciclo,137.0,0300,2021
L217,Engenharia de Computadores e Informática,Licenciatura - 1º ciclo,139.0,0300,2021
L209,Engenharia Eletrotécnica e de Computadores,Licenciatura - 1º ciclo,113.0,0300,2021
9119,Engenharia Informática,Licenciatura - 1º ciclo,167.8,0300,2021
L209,Engenharia Eletrotécnica e de Computadores,Licenciatura - 1º ciclo,124.8,0501,2021
9119,Engenharia Informática,Licenciatura - 1º ciclo,144.0,0501,2021
9119,Engenharia Informática,Licenciatura - 1º ciclo,152.0,1503,2021
9119,Engenharia Informática,Licenciatura - 1º ciclo,156.8,3135,2021
9119,Engenharia Informática,Licenciatura - 1º ciclo,136.4,3064,2021
L221,Engenharia Aeroespacial,Licenciatura - 1º ciclo,184.4,0300,2022
L223,Engenharia Computacional,Licenciatura - 1º ciclo,134.5,0300,2022
L202,Engenharia de Automação Industrial,Licenciatura - 1º ciclo,120.3,0300,2022
L217,Engenharia de Computadores e Informática,Licenciatura - 1º ciclo,150.5,0300,2022
L209,Engenharia Eletrotécnica e de Computadores,Licenciatura - 1º ciclo,124.0,0300,2022
9119,Engenharia Informática,Licenciatura - 1º ciclo,174.0,0300,2022
L209,Engenharia Eletrotécnica e de Computadores,Licenciatura - 1º ciclo,119.3,0501,2022
9119,Engenharia Informática,Licenciatura - 1º ciclo,158.0,0501,2022
9119,Engenharia Informática,Licenciatura - 1º ciclo,162.5,1503,2022
9119,Engenharia Informática,Licenciatura - 1º ciclo,166.4,3135,2022
L209,Engenharia Eletrotécnica e de Computadores,Licenciatura - 1º ciclo,122.4,3064,2022
9119,Engenharia Informática,Licenciatura - 1º ciclo,146.1,3064,2022
L221,Engenharia Aeroespacial,Licenciatura - 1º ciclo,185.2,0300,2023
L223,Engenharia Computacional,Licenciatura - 1º ciclo,123.3,0300,2023
L202,Engenharia de Automação Industrial,Licenciatura - 1º ciclo,115.3,0300,2023
L217,Engenharia de Computadores e Informática,Licenciatura - 1º ciclo,142.0,0300,2023
L209,Engenharia Eletrotécnica e de Computadores,Licenciatura - 1º ciclo,120.4,0300,2023
9119,Engenharia Informática,Licenciatura - 1º ciclo,172.0,0300,2023
L209,Engenharia Eletrotécnica e de Computadores,Licenciatura - 1º ciclo,117.5,0501,2023
9119,Engenharia Informática,Licenciatura - 1º ciclo,155.0,0501,2023
9119,Engenharia Informática,Licenciatura - 1º ciclo,158.5,1503,2023
9119,Engenharia Informática,Licenciatura - 1º ciclo,165.1,3135,2023
L209,Engenharia Eletrotécnica e de Computadores,Licenciatura - 1º ciclo,126.9,3064,2023
9119,Engenharia Informática,Licenciatura - 1º ciclo,145.8,3064,2023
